A_0	a_m a_m
KANG_2	k aa_l ng_h
KANG_3	k aa_l ng_l
KANG_4	k aa_h ng_l
KAO_0	k aa_m o_m
KAO_1	k aa_h o_h
KAO_2	k aa_l o_h
KAO_3	k aa_l o_l
KAO_4	k aa_h o_l
KE_0	k el_m el_m
KE_1	k el_h el_h
KE_2	k el_l el_h
KE_3	k el_l el_l
KE_4	k el_h el_l
KEI_0	k eh_m i_m
KEI_1	k eh_h i_h
KEI_2	k eh_l i_h
KEI_3	k eh_l i_l
KEI_4	k eh_h i_l
KEN_0	k el_m nn_m
KEN_1	k el_h nn_h
KEN_2	k el_l nn_h
KEN_3	k el_l nn_l
KEN_4	k el_h nn_l
KENG_0	k el_m ng_m
KENG_1	k el_h ng_h
KENG_2	k el_l ng_h
KENG_3	k el_l ng_l
KENG_4	k el_h ng_l
KIU_0	ku o_m u_m
KIU_1	ku o_h u_h
KIU_2	ku o_l u_h
KIU_3	ku o_l u_l
KIU_4	ku o_h u_l
KONG_0	ku u_m ng_m
KONG_1	ku u_h ng_h
KONG_2	ku u_l ng_h
KONG_3	ku u_l ng_l
KONG_4	ku u_h ng_l
KOU_0	k o_m u_m
KOU_1	k o_h u_h
KOU_2	k o_l u_h
KOU_3	k o_l u_l
KOU_4	k o_h u_l
KU_0	ku u_m u_m
KU_1	ku u_h u_h
KU_2	ku u_l u_h
KU_3	ku u_l u_l
KU_4	ku u_h u_l
KUA_0	ku a_m a_m
KUA_1	ku a_h a_h
KUA_2	ku a_l a_h
KUA_3	ku a_l a_l
KUA_4	ku a_h a_l
KUAI_0	ku a_m eh_m
KUAI_1	ku a_h eh_h
KUAI_2	ku a_l eh_h
KUAI_3	ku a_l eh_l
KUAI_4	ku a_h eh_l
KUAN_0	ku a_m nn_m
KUAN_1	ku a_h nn_h
KUAN_2	ku a_l nn_h
KUAN_3	ku a_l nn_l
KUAN_4	ku a_h nn_l
KUANG_0	ku aa_m ng_m
KUANG_1	ku aa_h ng_h
KUANG_2	ku aa_l ng_h
KUANG_3	ku aa_l ng_l
KUANG_4	ku aa_h ng_l
KUI_0	ku eh_m i_m
KUI_1	ku eh_h i_h
KUI_2	ku eh_l i_h
KUI_3	ku eh_l i_l
KUI_4	ku eh_h i_l
KUN_0	ku el_m nn_m
KUN_1	ku el_h nn_h
KUN_2	ku el_l nn_h
KUN_3	ku el_l nn_l
KUN_4	ku el_h nn_l
KUO_0	ku o_m o_m
KUO_1	ku o_h o_h
KUO_2	ku o_l o_h
KUO_3	ku o_l o_l
KUO_4	ku o_h o_l
LA_0	l a_m a_m
LA_1	l a_h a_h
LA_2	l a_l a_h
LA_3	l a_l a_l
LA_4	l a_h a_l
LAI_0	l a_m eh_m
LAI_1	l a_h eh_h
LAI_2	l a_l eh_h
LAI_3	l a_l eh_l
LAI_4	l a_h eh_l
LAN_0	l a_m nn_m
LAN_1	l a_h nn_h
LAN_2	l a_l nn_h
LAN_3	l a_l nn_l
LAN_4	l a_h nn_l
LANG_0	l aa_m ng_m
LANG_1	l aa_h ng_h
LANG_2	l aa_l ng_h
LANG_3	l aa_l ng_l
LANG_4	l aa_h ng_l
LAO_0	l aa_m o_m
LAO_1	l aa_h o_h
LAO_2	l aa_l o_h
LAO_3	l aa_l o_l
LAO_4	l aa_h o_l
LE_0	l el_m el_m
LE_1	l el_h el_h
LE_2	l el_l el_h
LE_3	l el_l el_l
LE_4	l el_h el_l
LEI_0	l eh_m i_m
LEI_1	l eh_h i_h
LEI_2	l eh_l i_h
LEI_3	l eh_l i_l
LEI_4	l eh_h i_l
LENG_0	l el_m ng_m
LENG_1	l el_h ng_h
LENG_2	l el_l ng_h
LENG_3	l el_l ng_l
LENG_4	l el_h ng_l
LI_0	li i_m i_m
LI_1	li i_h i_h
LI_2	li i_l i_h
LI_3	li i_l i_l
LI_4	li i_h i_l
LIA_0	li a_m a_m
LIA_1	li a_h a_h
LIA_2	li a_l a_h
LIA_3	li a_l a_l
LIA_4	li a_h a_l
LIAN_0	li a_m nn_m
LIAN_1	li a_h nn_h
LIAN_2	li a_l nn_h
LIAN_3	li a_l nn_l
LIAN_4	li a_h nn_l
LIANG_0	li aa_m ng_m
LIANG_1	li aa_h ng_h
LIANG_2	li aa_l ng_h
LIANG_3	li aa_l ng_l
LIANG_4	li aa_h ng_l
LIAO_0	li aa_m o_m
LIAO_1	li aa_h o_h
LIAO_2	li aa_l o_h
LIAO_3	li aa_l o_l
LIAO_4	li aa_h o_l
LIE_0	li eh_m eh_m
LIE_1	li eh_h eh_h
LIE_2	li eh_l eh_h
LIE_3	li eh_l eh_l
